url	panorama_id	ocr_id	notes	gsv_url
https://www.alltext.nyc/panorama/lcaicuO4XWHL7LzL9EyeJQ?o=119512485	lcaicuO4XWHL7LzL9EyeJQ	119512485		https://www.google.com/maps/@40.755302,-73.98918,3a,20y,254.39h,76.67t/data=!3m6!1e1!3m4!1slcaicuO4XWHL7LzL9EyeJQ!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/q6qvPVp8XJQApGzxFT8F9g?o=747798	q6qvPVp8XJQApGzxFT8F9g	747798		https://www.google.com/maps/@40.7633,-73.96245,3a,20y,281.94h,83.73t/data=!3m6!1e1!3m4!1sq6qvPVp8XJQApGzxFT8F9g!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/y9ZMklktYilgoX1KyNNguA?o=590300	y9ZMklktYilgoX1KyNNguA	590300		https://www.google.com/maps/@40.829456,-73.94202,3a,20y,330.28h,70.74t/data=!3m6!1e1!3m4!1sy9ZMklktYilgoX1KyNNguA!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/Pshg3AgSbXQw5nvon-Ib7g?o=1124597	Pshg3AgSbXQw5nvon-Ib7g	1124597		https://www.google.com/maps/@40.762478,-73.978676,3a,20y,352.28h,72.95t/data=!3m6!1e1!3m4!1sPshg3AgSbXQw5nvon-Ib7g!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/CodrOuANyDtWJtRgt3D65w?o=1305244	CodrOuANyDtWJtRgt3D65w	1305244		https://www.google.com/maps/@40.72064,-73.999695,3a,20y,163.89h,70.88t/data=!3m6!1e1!3m4!1sCodrOuANyDtWJtRgt3D65w!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/PN4pd0FY_9_vuLf1D4c6lQ?o=2373265	PN4pd0FY_9_vuLf1D4c6lQ	2373265		https://www.google.com/maps/@40.71492,-74.00797,3a,20y,129.06h,75.84t/data=!3m6!1e1!3m4!1sPN4pd0FY_9_vuLf1D4c6lQ!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/FaXppx-a9FkbiEXqiAI_YA?o=10702656	FaXppx-a9FkbiEXqiAI_YA	10702656		https://www.google.com/maps/@40.72313,-73.99872,3a,20y,155.74h,79.17t/data=!3m6!1e1!3m4!1sFaXppx-a9FkbiEXqiAI_YA!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/V3Rg8Kb6PP9rXOGGSxE6GA?o=19561483	V3Rg8Kb6PP9rXOGGSxE6GA	19561483		https://www.google.com/maps/@40.76314,-73.98034,3a,20y,189.03h,74.73t/data=!3m6!1e1!3m4!1sV3Rg8Kb6PP9rXOGGSxE6GA!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/cG3OC6Fi0HAi0NkA4t1SWw?o=23269931	cG3OC6Fi0HAi0NkA4t1SWw	23269931		https://www.google.com/maps/@40.71943,-73.99727,3a,20y,115.19h,68.13t/data=!3m6!1e1!3m4!1scG3OC6Fi0HAi0NkA4t1SWw!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/6Tk1jt7v1-SnpKqU6fje9A?o=67056699	6Tk1jt7v1-SnpKqU6fje9A	67056699		https://www.google.com/maps/@40.774456,-73.90544,3a,20y,307.27h,70.48t/data=!3m6!1e1!3m4!1s6Tk1jt7v1-SnpKqU6fje9A!2e0!7i16384!8i8192?entry=ttu
https://www.alltext.nyc/panorama/eR_xLjDCYijD6_1XTEde6w?o=4044898	eR_xLjDCYijD6_1XTEde6w	4044898		https://www.google.com/maps/@40.76521,-73.98137,3a,20y,95.59h,84.29t/data=!3m6!1e1!3m4!1seR_xLjDCYijD6_1XTEde6w!2e0!7i16384!8i8192?entry=ttu
